"party_id","party_name","issue_slug","issue_label","question","stance","stance_he","evidence","source_count","source_type","source_tier","source_date","source_url","verified"
"kachol","כחול לבן","yeshiva-budgets","תקציבי הישיבות והחינוך החרדי","האם יש להגדיל את התקציבים לישיבות ולמוסדות החינוך החרדי?","0","נגד","sourced","1","media","reported","2023-11-27","https://www.ynet.co.il/news/article/hjllffmba","2026-09-07"
"kachol","כחול לבן","nation-state-law","סעיף שוויון בחוק הלאום","האם צריך להוסיף לחוק הלאום סעיף שקובע שכל אזרחי ישראל שווים?","1","בעד","sourced","3","vote","doc","2025-01-01","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2222918","2026-09-07"
"kachol","כחול לבן","temple-mount","תפילת יהודים בהר הבית","האם יש לאפשר תפילת יהודים בהר הבית, גם אם המשמעות היא שינוי הסטטוס-קוו?","0","נגד","sourced","1","leader","said","2024-08-13","https://www.srugim.co.il/1028026-%D7%92%D7%A0%D7%A5-%D7%9C%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95-%D7%AA%D7%A2%D7%A6%D7%95%D7%A8-%D7%90%D7%AA-%D7%94%D7%94%D7%A4%D7%A7%D7%A8%D7%95%D7%AA","2026-09-07"
"kachol","כחול לבן","settlements","הרחבת ההתנחלויות","האם יש להרחיב את ההתנחלויות ביהודה ושומרון?","0","נגד","sourced","3","vote","doc","2023-03-21","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2195706","2026-09-07"
"kachol","כחול לבן","term-limits","הגבלת כהונת ראש הממשלה","האם צריך לקבוע בחוק הגבלה על מספר השנים שראש ממשלה יכול לכהן?","1","בעד","sourced","4","vote","doc","2026-01-14","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2203407","2026-09-07"
"kachol","כחול לבן","benefits-for-service","התניית הטבות בשירות צבאי או אזרחי","האם יש להתנות הטבות ממשלתיות (כמו הנחות ומענקים) בשירות צבאי או אזרחי?","1","בעד","sourced","3","vote","doc","2025-10-22","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2232134","2026-09-07"
"kachol","כחול לבן","housing","התערבות ממשלתית בשוק הדיור","האם על הממשלה להתערב באופן פעיל בשוק הדיור: פיקוח, סבסוד ודיור ציבורי?","1","בעד","sourced","1","leader","said","2026-08-17","https://www.israelhayom.co.il/news/geopolitics/article/21215389","2026-09-07"
"kachol","כחול לבן","lgbt-equality","שוויון זכויות לקהילה הלהט""בית","האם יש לעגן בחוק שוויון זכויות מלא לקהילת הלהט""ב, כולל הכרה בזוגיות?","1","בעד","sourced","2","media","reported","2021-02-15","https://www.ynet.co.il/news/article/HJ00ZCODZO","2026-09-07"
"kachol","כחול לבן","saudi-normalization","ויתורים לפלסטינים תמורת שלום עם סעודיה","האם כדאי לישראל לוותר לפלסטינים, למשל להקפיא בנייה בהתנחלויות, כדי להשיג הסכם שלום עם ערב הסעודית?","1","בעד","sourced","1","media","reported","2023-10-05","https://news.walla.co.il/item/3613805","2026-09-07"
"kachol","כחול לבן","universal-service","חובת שירות לכלל האזרחים","האם יש להנהיג חובת שירות, צבאי או אזרחי, לכלל אזרחי ישראל, כולל חרדים וערבים?","1","בעד","sourced","2","leader","said","2026-08-17","https://www.israelhayom.co.il/news/geopolitics/article/21215389","2026-09-07"
"kachol","כחול לבן","haredi-coalition","חרדים בקואליציה ללא חוק גיוס","האם לגיטימי לצרף את המפלגות החרדיות לקואליציה גם ללא הסכמה מראש על חוק גיוס?","0","נגד","sourced","2","leader","said","2026-01-20","https://www.kikar.co.il/interviews/t93wou","2026-09-07"
"kachol","כחול לבן","arab-coalition","מפלגות ערביות בקואליציה","האם לגיטימי לצרף מפלגות ערביות לקואליציה ולממשלה?","0","נגד","sourced","2","leader","said","2026-08-27","https://news.walla.co.il/item/3863654","2026-09-07"
"miluim","המילואימניקים","palestinian-state","מדינה פלסטינית","האם יש להקים מדינה פלסטינית לצד ישראל במסגרת הסדר עתידי?","0","נגד","sourced","2","leader","said","2026-08-20","https://www.maariv.co.il/news/politics/article-1355353","2026-09-07"
"miluim","המילואימניקים","death-penalty","עונש מוות למחבלים","האם יש לחוקק בישראל עונש מוות למחבלים?","0.5","עמדה חלקית","sourced","1","leader","said","2025-12-11","https://news.walla.co.il/item/3800752","2026-09-07"
"miluim","המילואימניקים","haredi-draft","גיוס חרדים","האם יש לחוקק חוק המחייב גיוס בחורי ישיבה חרדים, כולל סנקציות אישיות על משתמטים?","1","בעד","sourced","1","leader","said","2026-08-20","https://www.maariv.co.il/news/politics/article-1355353","2026-09-07"
"miluim","המילואימניקים","judicial-reform","הרפורמה המשפטית והגבלת בג""ץ","האם יש להגביל את סמכויות בג""ץ ולחזק את כוחן של הכנסת והממשלה (ברוח הרפורמה המשפטית)?","0.5","עמדה חלקית","sourced","1","media","reported","2026-08-05","https://www.israelhayom.co.il/news/politics/article/21135719","2026-09-07"
"miluim","המילואימניקים","oct7-inquiry","ועדת חקירה ממלכתית ל-7 באוקטובר","האם יש להקים מיד ועדת חקירה ממלכתית לאירועי 7 באוקטובר?","1","בעד","sourced","2","leader","said","2026-09-03","https://www.israelhayom.co.il/magazine/special/israelelections/article/21330970","2026-09-07"
"miluim","המילואימניקים","religion-state","תחבורה ציבורית בשבת ונישואים אזרחיים","האם יש להפעיל תחבורה ציבורית בשבת ולהנהיג נישואים אזרחיים בישראל?","0.5","עמדה חלקית","sourced","1","leader","said","2021-09-12","https://www.inn.co.il/news/504642","2026-09-07"
"miluim","המילואימניקים","gaza-control","שליטה ביטחונית בעזה","האם צה""ל צריך להמשיך לשלוט ביטחונית ברצועת עזה גם בשנים הקרובות?","1","בעד","sourced","1","leader","said","2026-08-17","https://www.maariv.co.il/news/politics/article-1355354","2026-09-07"
"miluim","המילואימניקים","lower-taxes","הורדת מסים מול שירותים לאזרח","האם צריך להוריד מסים, גם אם המשמעות היא שהמדינה תספק פחות שירותים לאזרח?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"miluim","המילואימניקים","yeshiva-budgets","תקציבי הישיבות והחינוך החרדי","האם יש להגדיל את התקציבים לישיבות ולמוסדות החינוך החרדי?","0","נגד","sourced","2","leader","said","2026-09-03","https://www.israelhayom.co.il/magazine/special/israelelections/article/21330970","2026-09-07"
"miluim","המילואימניקים","nation-state-law","סעיף שוויון בחוק הלאום","האם צריך להוסיף לחוק הלאום סעיף שקובע שכל אזרחי ישראל שווים?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"miluim","המילואימניקים","temple-mount","תפילת יהודים בהר הבית","האם יש לאפשר תפילת יהודים בהר הבית, גם אם המשמעות היא שינוי הסטטוס-קוו?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"miluim","המילואימניקים","settlements","הרחבת ההתנחלויות","האם יש להרחיב את ההתנחלויות ביהודה ושומרון?","1","בעד","sourced","1","leader","said","2026-08-20","https://www.maariv.co.il/news/politics/article-1355353","2026-09-07"
"miluim","המילואימניקים","term-limits","הגבלת כהונת ראש הממשלה","האם צריך לקבוע בחוק הגבלה על מספר השנים שראש ממשלה יכול לכהן?","1","בעד","sourced","2","media","reported","2026-08-05","https://www.srugim.co.il/101007807-%D7%98%D7%A8%D7%95%D7%A4%D7%A8-%D7%95%D7%94%D7%A0%D7%93%D7%9C-%D7%9E%D7%A6%D7%99%D7%91%D7%99%D7%9D-%D7%AA%D7%A0%D7%90%D7%99%D7%9D-%D7%96%D7%94-%D7%94%D7%AA%D7%99%D7%A7-%D7%A9%D7%A0%D7%93%D7%A8%D7%95%D7%A9","2026-09-07"
"miluim","המילואימניקים","benefits-for-service","התניית הטבות בשירות צבאי או אזרחי","האם יש להתנות הטבות ממשלתיות (כמו הנחות ומענקים) בשירות צבאי או אזרחי?","1","בעד","sourced","2","leader","said","2026-09-03","https://www.israelhayom.co.il/magazine/special/israelelections/article/21330970","2026-09-07"
"miluim","המילואימניקים","housing","התערבות ממשלתית בשוק הדיור","האם על הממשלה להתערב באופן פעיל בשוק הדיור: פיקוח, סבסוד ודיור ציבורי?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"miluim","המילואימניקים","lgbt-equality","שוויון זכויות לקהילה הלהט""בית","האם יש לעגן בחוק שוויון זכויות מלא לקהילת הלהט""ב, כולל הכרה בזוגיות?","0.5","עמדה חלקית","sourced","1","leader","said","2021-01-26","https://www.makorrishon.co.il/news/article/269386","2026-09-07"
"miluim","המילואימניקים","saudi-normalization","ויתורים לפלסטינים תמורת שלום עם סעודיה","האם כדאי לישראל לוותר לפלסטינים, למשל להקפיא בנייה בהתנחלויות, כדי להשיג הסכם שלום עם ערב הסעודית?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"miluim","המילואימניקים","universal-service","חובת שירות לכלל האזרחים","האם יש להנהיג חובת שירות, צבאי או אזרחי, לכלל אזרחי ישראל, כולל חרדים וערבים?","1","בעד","sourced","1","leader","said","2026-08-05","https://www.srugim.co.il/101007807-%D7%98%D7%A8%D7%95%D7%A4%D7%A8-%D7%95%D7%94%D7%A0%D7%93%D7%9C-%D7%9E%D7%A6%D7%99%D7%91%D7%99%D7%9D-%D7%AA%D7%A0%D7%90%D7%99%D7%9D-%D7%96%D7%94-%D7%94%D7%AA%D7%99%D7%A7-%D7%A9%D7%A0%D7%93%D7%A8%D7%95%D7%A9","2026-09-07"
"miluim","המילואימניקים","haredi-coalition","חרדים בקואליציה ללא חוק גיוס","האם לגיטימי לצרף את המפלגות החרדיות לקואליציה גם ללא הסכמה מראש על חוק גיוס?","0","נגד","sourced","1","leader","said","2026-08-20","https://www.maariv.co.il/news/politics/article-1355353","2026-09-07"
"miluim","המילואימניקים","arab-coalition","מפלגות ערביות בקואליציה","האם לגיטימי לצרף מפלגות ערביות לקואליציה ולממשלה?","0","נגד","sourced","1","leader","said","2026-08-20","https://www.maariv.co.il/news/politics/article-1355353","2026-09-07"
"haskel","ישראל תחילה","palestinian-state","מדינה פלסטינית","האם יש להקים מדינה פלסטינית לצד ישראל במסגרת הסדר עתידי?","0","נגד","sourced","2","platform","doc","2026-09-06","https://israelfirst.co.il/work-plan/","2026-09-07"
"haskel","ישראל תחילה","death-penalty","עונש מוות למחבלים","האם יש לחוקק בישראל עונש מוות למחבלים?","1","בעד","sourced","1","policy","doc","2019-12-09","https://fs.knesset.gov.il/22/law/22_lst_565219.docx","2026-09-07"
"haskel","ישראל תחילה","haredi-draft","גיוס חרדים","האם יש לחוקק חוק המחייב גיוס בחורי ישיבה חרדים, כולל סנקציות אישיות על משתמטים?","1","בעד","sourced","2","platform","doc","2026-09-06","https://israelfirst.co.il/work-plan/","2026-09-07"
"haskel","ישראל תחילה","judicial-reform","הרפורמה המשפטית והגבלת בג""ץ","האם יש להגביל את סמכויות בג""ץ ולחזק את כוחן של הכנסת והממשלה (ברוח הרפורמה המשפטית)?","0.5","עמדה חלקית","sourced","1","leader","said","2023-01-09","https://www.ynet.co.il/news/article/bjsj3btcs","2026-09-07"
"haskel","ישראל תחילה","oct7-inquiry","ועדת חקירה ממלכתית ל-7 באוקטובר","האם יש להקים מיד ועדת חקירה ממלכתית לאירועי 7 באוקטובר?","0.5","עמדה חלקית","sourced","1","leader","said","2025-11-18","https://www.israelhayom.co.il/news/politics/article/19266322","2026-09-07"
"haskel","ישראל תחילה","religion-state","תחבורה ציבורית בשבת ונישואים אזרחיים","האם יש להפעיל תחבורה ציבורית בשבת ולהנהיג נישואים אזרחיים בישראל?","0.5","עמדה חלקית","sourced","1","media","reported","2026-08-31","https://www.ynet.co.il/news/elections2026/article/yokra14883243","2026-09-07"
"haskel","ישראל תחילה","gaza-control","שליטה ביטחונית בעזה","האם צה""ל צריך להמשיך לשלוט ביטחונית ברצועת עזה גם בשנים הקרובות?","1","בעד","sourced","1","platform","doc","2026-09-07","https://israelfirst.co.il/work-plan/","2026-09-07"
"haskel","ישראל תחילה","lower-taxes","הורדת מסים מול שירותים לאזרח","האם צריך להוריד מסים, גם אם המשמעות היא שהמדינה תספק פחות שירותים לאזרח?","1","בעד","sourced","2","platform","doc","2026-09-06","https://israelfirst.co.il/work-plan/","2026-09-07"
"haskel","ישראל תחילה","yeshiva-budgets","תקציבי הישיבות והחינוך החרדי","האם יש להגדיל את התקציבים לישיבות ולמוסדות החינוך החרדי?","0","נגד","sourced","2","leader","said","2026-06-10","https://www.maariv.co.il/news/politics/article-1331487","2026-09-07"
"haskel","ישראל תחילה","nation-state-law","סעיף שוויון בחוק הלאום","האם צריך להוסיף לחוק הלאום סעיף שקובע שכל אזרחי ישראל שווים?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"haskel","ישראל תחילה","temple-mount","תפילת יהודים בהר הבית","האם יש לאפשר תפילת יהודים בהר הבית, גם אם המשמעות היא שינוי הסטטוס-קוו?","1","בעד","sourced","1","leader","said","2026-07-23","https://www.inn.co.il/news/702233","2026-09-07"
"haskel","ישראל תחילה","settlements","הרחבת ההתנחלויות","האם יש להרחיב את ההתנחלויות ביהודה ושומרון?","1","בעד","sourced","2","leader","said","2026-08-23","https://www.israelhayom.co.il/news/politics/article/21257367","2026-09-07"
"haskel","ישראל תחילה","term-limits","הגבלת כהונת ראש הממשלה","האם צריך לקבוע בחוק הגבלה על מספר השנים שראש ממשלה יכול לכהן?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"haskel","ישראל תחילה","benefits-for-service","התניית הטבות בשירות צבאי או אזרחי","האם יש להתנות הטבות ממשלתיות (כמו הנחות ומענקים) בשירות צבאי או אזרחי?","1","בעד","sourced","1","platform","doc","2026-09-06","https://israelfirst.co.il/work-plan/","2026-09-07"
"haskel","ישראל תחילה","housing","התערבות ממשלתית בשוק הדיור","האם על הממשלה להתערב באופן פעיל בשוק הדיור: פיקוח, סבסוד ודיור ציבורי?","0.5","עמדה חלקית","sourced","1","policy","doc","2016-02-15","https://fs.knesset.gov.il/20/law/20_lst_321509.docx","2026-09-07"
"haskel","ישראל תחילה","lgbt-equality","שוויון זכויות לקהילה הלהט""בית","האם יש לעגן בחוק שוויון זכויות מלא לקהילת הלהט""ב, כולל הכרה בזוגיות?","0.5","עמדה חלקית","sourced","2","policy","doc","2017-07-03","https://fs.knesset.gov.il/20/law/20_lst_387695.docx","2026-09-07"
